file name,line count, actual content line count,number of revisions,lines per revision
maven/mavencentral/ca.uhn.hapi/hapi-structures-v231.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi-structures-v23.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi-structures-v24.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi-structures-v251.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi-structures-v25.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi-structures-v26.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi-structures-v27.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi-structures-v281.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi-structures-v28.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi.yaml,9,3,1,3
maven/mavencentral/ch.qos.logback/logback-classic.yaml,9,3,1,3
maven/mavencentral/com.fasterxml.jackson.core/jackson-core.yaml,12,6,2,3
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind.yaml,9,3,1,3
maven/mavencentral/com.fasterxml.uuid/java-uuid-generator.yaml,15,9,1,9
maven/mavencentral/com.github.bumptech.glide/glide.yaml,9,3,1,3
maven/mavencentral/com.github.fge/json-schema-validator.yaml,9,3,1,3
maven/mavencentral/com.github.jnr/jnr-posix.yaml,9,3,1,3
maven/mavencentral/com.github.stefanbirkner/system-rules.yaml,9,3,1,3
maven/mavencentral/com.google.protobuf/protobuf-java.yaml,9,3,1,3
maven/mavencentral/com.microsoft.azure/adal4j.yaml,15,9,2,4
maven/mavencentral/commons-httpclient/commons-httpclient.yaml,10,3,1,3
maven/mavencentral/com.nimbusds/oauth2-oidc-sdk.yaml,15,9,3,3
maven/mavencentral/com.puppycrawl.tools/checkstyle.yaml,9,3,1,3
maven/mavencentral/com.sun.grizzly/grizzly-lzma.yaml,9,3,1,3
maven/mavencentral/com.sun.mail/javax.mail.yaml,9,3,1,3
maven/mavencentral/io.jsonwebtoken/jjwt.yaml,18,12,1,12
maven/mavencentral/jakarta.ejb/jakarta.ejb-api.yaml,24,18,1,18
maven/mavencentral/javax.activation/activation.yaml,12,6,2,3
maven/mavencentral/javax.mail/mail.yaml,9,3,1,3
maven/mavencentral/javax.servlet/javax.servlet-api.yaml,46,40,1,40
maven/mavencentral/junit/junit.yaml,15,9,3,3
maven/mavencentral/net.java.dev.jna/jna-platform.yaml,9,3,1,3
maven/mavencentral/net.java.dev.jna/jna.yaml,9,3,1,3
maven/mavencentral/net.sf.jopt-simple/jopt-simple.yaml,9,3,1,3
maven/mavencentral/net.sourceforge.cssparser/cssparser.yaml,9,3,1,3
maven/mavencentral/net.sourceforge.htmlunit/htmlunit-core-js.yaml,9,3,1,3
maven/mavencentral/net.sourceforge.javacsv/javacsv.yaml,9,3,1,3
maven/mavencentral/net.sourceforge.streamsupport/streamsupport.yaml,9,3,1,3
maven/mavencentral/org.antlr/antlr-runtime.yaml,9,3,1,3
maven/mavencentral/org.apache.maven/maven-core.yaml,9,3,1,3
maven/mavencentral/org.aspectj/aspectjweaver.yaml,9,3,1,3
maven/mavencentral/org.bouncycastle/bcmail-jdk15on.yaml,14,8,1,8
maven/mavencentral/org.bouncycastle/bcpkix-jdk15on.yaml,14,8,1,8
maven/mavencentral/org.bouncycastle/bcprov-jdk15on.yaml,14,8,1,8
maven/mavencentral/org.eclipse.paho/org.eclipse.paho.client.mqttv3.yaml,9,3,1,3
maven/mavencentral/org.eclipse.persistence/eclipselink.yaml,9,3,1,3
maven/mavencentral/org.glassfish/javax.el.yaml,9,3,1,3
maven/mavencentral/org.glassfish/javax.json.yaml,9,3,1,3
maven/mavencentral/org.hamcrest/hamcrest-all.yaml,9,3,1,3
maven/mavencentral/org.hamcrest/hamcrest-core.yaml,9,3,1,3
maven/mavencentral/org.hibernate/hibernate-validator.yaml,17,11,1,11
maven/mavencentral/org.jruby/jruby-complete.yaml,9,3,1,3
maven/mavencentral/org.json4s/json4s-jackson_2.11.yaml,17,11,1,11
maven/mavencentral/org.json/json.yaml,12,6,2,3
maven/mavencentral/org.mockito/mockito-core.yaml,14,8,1,8
maven/mavencentral/org.mozilla/rhino.yaml,9,3,1,3
maven/mavencentral/org.orekit/orekit.yaml,12,6,1,6
maven/mavencentral/org.ow2.asm/asm-analysis.yaml,14,8,1,8
maven/mavencentral/org.ow2.asm/asm-commons.yaml,14,8,1,8
maven/mavencentral/org.ow2.asm/asm-tree.yaml,14,8,1,8
maven/mavencentral/org.ow2.asm/asm-util.yaml,14,8,1,8
maven/mavencentral/org.ow2.asm/asm.yaml,20,14,3,4
maven/mavencentral/org.reactivestreams/reactive-streams.yaml,9,3,1,3
maven/mavencentral/org.twitter4j/twitter4j-core.yaml,9,3,1,3
maven/mavencentral/org.w3c.css/sac.yaml,9,3,1,3
maven/mavencentral/org.wildfly.common/wildfly-common.yaml,9,3,1,3
npm/npmjs/-/abab.yaml,16,11,1,11
npm/npmjs/-/adal-node.yaml,8,3,1,3
npm/npmjs/-/adm-zip.yaml,11,6,2,3
npm/npmjs/-/after.yaml,8,3,1,3
npm/npmjs/-/ag-grid-enterprise.yaml,8,3,1,3
npm/npmjs/-/amdefine.yaml,8,3,1,3
npm/npmjs/-/amdetective.yaml,11,6,2,3
npm/npmjs/-/ansi-parser.yaml,11,6,2,3
npm/npmjs/-/antlr4.yaml,8,3,1,3
npm/npmjs/-/application-name.yaml,8,3,1,3
npm/npmjs/-/argsparser.yaml,8,3,1,3
npm/npmjs/-/arraybuffer.slice.yaml,8,3,1,3
npm/npmjs/-/assert-plus.yaml,8,3,1,3
npm/npmjs/-/async-limiter.yaml,14,9,1,9
npm/npmjs/-/async-mutex.yaml,14,9,1,9
npm/npmjs/-/async.yaml,8,3,1,3
npm/npmjs/-/atob.yaml,8,3,1,3
npm/npmjs/-/base64-arraybuffer.yaml,8,3,1,3
npm/npmjs/-/base64id.yaml,8,3,1,3
npm/npmjs/-/base-64.yaml,8,3,1,3
npm/npmjs/-/batch.yaml,8,3,1,3
npm/npmjs/-/becke-ch--regex--s0-0-v1--base--pl--lib.yaml,8,3,1,3
npm/npmjs/-/benchmark.yaml,8,3,1,3
npm/npmjs/-/better-assert.yaml,8,3,1,3
npm/npmjs/-/blob.yaml,11,6,2,3
npm/npmjs/-/btoa.yaml,8,3,1,3
npm/npmjs/-/bufferstreams.yaml,8,3,1,3
npm/npmjs/-/buffers.yaml,8,3,1,3
npm/npmjs/-/b.yaml,8,3,1,3
npm/npmjs/-/callsite.yaml,8,3,1,3
npm/npmjs/-/chainsaw.yaml,8,3,1,3
npm/npmjs/-/cjson.yaml,8,3,1,3
npm/npmjs/-/cli-box.yaml,8,3,1,3
npm/npmjs/-/cli-color.yaml,8,3,1,3
npm/npmjs/-/cli-table.yaml,8,3,1,3
npm/npmjs/-/cliui.yaml,11,6,1,6
npm/npmjs/-/coa.yaml,8,3,1,3
npm/npmjs/-/colors.yaml,11,6,2,3
npm/npmjs/-/commander.yaml,14,9,3,3
npm/npmjs/-/component-bind.yaml,8,3,1,3
npm/npmjs/-/component-emitter.yaml,8,3,1,3
npm/npmjs/-/component-inherit.yaml,8,3,1,3
npm/npmjs/-/config-chain.yaml,11,6,2,3
npm/npmjs/-/console-browserify.yaml,8,3,1,3
npm/npmjs/-/convert-hex.yaml,8,3,1,3
npm/npmjs/-/convert-string.yaml,8,3,1,3
npm/npmjs/-/cookies-js.yaml,8,3,1,3
npm/npmjs/-/copy-paste.yaml,8,3,1,3
npm/npmjs/-/cordova-registry-mapper.yaml,8,3,1,3
npm/npmjs/-/couleurs.yaml,8,3,1,3
npm/npmjs/-/create-react-context.yaml,8,3,1,3
npm/npmjs/-/css2json.yaml,8,3,1,3
npm/npmjs/-/cssesc.yaml,8,3,1,3
npm/npmjs/-/css-loader.yaml,8,3,1,3
npm/npmjs/-/css-parse.yaml,8,3,1,3
npm/npmjs/-/css-select.yaml,8,3,1,3
npm/npmjs/-/css-stringify.yaml,8,3,1,3
npm/npmjs/-/cssstyle.yaml,8,3,1,3
npm/npmjs/-/css.yaml,8,3,1,3
npm/npmjs/-/ctype.yaml,8,3,1,3
npm/npmjs/-/cycle.yaml,8,3,1,3
npm/npmjs/-/cyclist.yaml,8,3,1,3
npm/npmjs/-/d3.yaml,8,3,1,3
npm/npmjs/-/date-now.yaml,8,3,1,3
npm/npmjs/-/deffy.yaml,8,3,1,3
npm/npmjs/-/devtools-protocol.yaml,8,3,1,3
npm/npmjs/-/diff.yaml,11,6,2,3
npm/npmjs/-/doctrine.yaml,8,3,1,3
npm/npmjs/-/domelementtype.yaml,19,14,2,7
npm/npmjs/-/domhandler.yaml,8,3,1,3
npm/npmjs/-/dompurify.yaml,8,3,1,3
npm/npmjs/-/domutils.yaml,11,6,2,3
npm/npmjs/-/dom-walk.yaml,8,3,1,3
npm/npmjs/-/duplexer2.yaml,8,3,1,3
npm/npmjs/-/duplexer.yaml,8,3,1,3
