file name,length of longest curation,full length of curations,number of lines,revision,number of revisions
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.6.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.5.3",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.5.1",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.5.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.4.2",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.4.1",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.4.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.3.2",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.3.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.2.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.1.2",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.1.1",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.0.0-rc0004",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.0.0-rc0002",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.0.0-beta0004",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.0.0-beta0003",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"5.0.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.9.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.6.3",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.6.1",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.6.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.5.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.4.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.3.2",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.3.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.2.2",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.2.1",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.2.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.19.4",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.19.3",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.19.2",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.19.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.18.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.17.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.16.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.15.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.14.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.13.1",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.13.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.12.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.1.1",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.11.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.1.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.0.1",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"4.0.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"3.5.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"3.4.1",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"3.4.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"3.3.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"3.2.2",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"3.2.1",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"3.2.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"3.1.229",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"3.0.90",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"3.0.107",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"2.2.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"2.1.0",58
nuget/nuget/-/FluentAssertions.yaml,2,174,179,"2.0.1",58
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"7.5.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"7.2.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.8.6",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.8.5",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.8.4",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.6.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.5.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.5.0",57
